"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"127",65,77,56,NA,NA,NA,0,0,0,8.5,NA,160,170,"2023/5/7","LAGUARDIA AIRPORT, NY US"
"128",67,77,59,NA,NA,NA,0,0,0,11.41,NA,290,270,"2023/5/8","LAGUARDIA AIRPORT, NY US"
"129",63,68,55,NA,NA,NA,0,0,0,8.28,NA,190,190,"2023/5/9","LAGUARDIA AIRPORT, NY US"
"130",60,73,52,NA,NA,NA,0,0,0,6.26,NA,190,190,"2023/5/10","LAGUARDIA AIRPORT, NY US"
"131",69,82,59,NA,NA,NA,0,0,0,7.83,NA,260,270,"2023/5/11","LAGUARDIA AIRPORT, NY US"
"132",77,87,65,NA,NA,NA,0,0,0,6.93,NA,270,260,"2023/5/12","LAGUARDIA AIRPORT, NY US"
"133",78,82,67,NA,NA,NA,0,0,0,7.61,NA,20,10,"2023/5/13","LAGUARDIA AIRPORT, NY US"
"134",68,73,60,NA,NA,NA,0,0,0,9.4,NA,360,10,"2023/5/14","LAGUARDIA AIRPORT, NY US"
"135",65,76,56,NA,NA,NA,0,0,0,9.62,NA,250,270,"2023/5/15","LAGUARDIA AIRPORT, NY US"
"136",71,81,61,NA,NA,NA,0,0,0,10.96,NA,240,230,"2023/5/16","LAGUARDIA AIRPORT, NY US"
"137",65,73,51,NA,NA,NA,0,0,0,14.32,NA,310,330,"2023/5/17","LAGUARDIA AIRPORT, NY US"
"138",53,60,46,NA,NA,NA,0,0,0,10.74,NA,190,150,"2023/5/18","LAGUARDIA AIRPORT, NY US"
"139",60,70,54,NA,NA,NA,0,0,0,12.75,NA,170,170,"2023/5/19","LAGUARDIA AIRPORT, NY US"
"140",60,67,57,NA,NA,NA,1.26,0,0,8.28,NA,180,180,"2023/5/20","LAGUARDIA AIRPORT, NY US"
"141",64,70,57,NA,NA,NA,0,0,0,12.08,NA,320,310,"2023/5/21","LAGUARDIA AIRPORT, NY US"
"142",66,74,58,NA,NA,NA,0,0,0,8.05,NA,190,60,"2023/5/22","LAGUARDIA AIRPORT, NY US"
"143",61,68,56,NA,NA,NA,0,0,0,8.5,NA,160,160,"2023/5/23","LAGUARDIA AIRPORT, NY US"
"144",63,77,55,NA,NA,NA,0.03,0,0,8.72,NA,20,20,"2023/5/24","LAGUARDIA AIRPORT, NY US"
"145",59,67,51,NA,NA,NA,0,0,0,13.87,NA,350,360,"2023/5/25","LAGUARDIA AIRPORT, NY US"
"146",64,73,55,NA,NA,NA,0,0,0,7.16,NA,20,20,"2023/5/26","LAGUARDIA AIRPORT, NY US"
"147",67,78,59,NA,NA,NA,0,0,0,7.83,NA,180,160,"2023/5/27","LAGUARDIA AIRPORT, NY US"
"148",68,78,61,NA,NA,NA,0,0,0,8.28,NA,190,190,"2023/5/28","LAGUARDIA AIRPORT, NY US"
"149",69,78,59,NA,NA,NA,0,0,0,11.63,NA,50,40,"2023/5/29","LAGUARDIA AIRPORT, NY US"
"150",62,69,56,NA,NA,NA,0,0,0,10.96,NA,40,40,"2023/5/30","LAGUARDIA AIRPORT, NY US"
"151",62,76,52,NA,NA,NA,0,0,0,6.93,NA,160,60,"2023/5/31","LAGUARDIA AIRPORT, NY US"
"152",71,86,61,NA,NA,NA,0,0,0,5.37,NA,190,180,"2023/6/1","LAGUARDIA AIRPORT, NY US"
"153",76,90,66,NA,NA,NA,0.05,0,0,4.92,NA,140,140,"2023/6/2","LAGUARDIA AIRPORT, NY US"
